stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
12.1262982002,-86.2414834999,relation/6473085,,Parque Don Bosco (Mercado Huembes),1
12.0851629,-86.2403662,node/3951162769,relation/6472850,Las Sierritas,0
12.13145585,-86.2435104,relation/6473082,,Parque Colombia,1
12.1404869,-86.2567845,node/7727710183,,Iglesia Bautista Eben Ezer,0
12.1526062,-86.2640091,node/7727710181,,Vuelta Casa de las Mangueras,0
12.1457074,-86.1726379,node/2463308684,,Hotel Las Mercedes,0
12.1124528,-86.2827376,node/3681496680,relation/6472298,Benito Juárez,0
12.12156915,-86.2159664,relation/6473061,,Panadería San José,1
12.0695982,-86.2048903,relation/6473067,,Cenicera,1
12.16760595,-86.3519877001,relation/6472599,,El Gallo Más Gallo,1
12.06964165,-86.2071425,relation/6473065,,Alborada,1
12.06997305,-86.21166945,relation/6473069,,El Avispero,1
12.10488425,-86.250829,relation/6472597,,El Establo,1
12.1289656501,-86.34573895,relation/6472591,,El Cuadro,1
12.13624605,-86.25071995,relation/6472592,,Semáforo El Dorado,1
12.1359544,-86.24992795,relation/6472593,,El Dorado,1
12.151902,-86.3487088,node/3870181556,relation/6472909,La primera casa,0
12.1375172,-86.2378776,node/3708560719,relation/6473422,TAMENICSA,0
12.1485874,-86.2035718,node/3708560718,relation/6472650,Entrada Barrio Hugo Chávez,0
12.1168541,-86.2732265,node/3708560717,relation/6473313,Radio Universidad,0
12.1571572,-86.1882654,node/2955328166,relation/6472607,El Molino,0
12.1080845,-86.2649674,relation/6472449,,Colegio La Anunciación,1
12.1286856,-86.2184971,node/3227474919,,Almacenes Tropigás,0
12.1175431,-86.2517319,node/3227474918,relation/6472785,Hospital Central,0
12.1175126,-86.2519282,node/3227474917,relation/6472785,Hospital Central,0
12.1341841501,-86.3456101,relation/6472443,,Colegio Cuachillo,1
12.17331395,-86.36664295,relation/6472440,,Colegio Cristiano el Edén,1
12.1453496,-86.3005823,node/3227474914,relation/6472291,Reparto Miraflores,0
12.1352938,-86.1996061,node/3227474913,relation/6473379,Semáforos Mayoreo,0
12.1559646,-86.2382874,relation/6472447,,Colegio José de la Cruz Mena,1
12.1387751,-86.3000385,node/3227474911,relation/6472806,INVUR,0
12.1314764,-86.2572331,node/3227474910,,Rotonda Santo Domingo,0
12.1402583,-86.2405541,node/3264411582,,Taller Mejía,0
12.1372469,-86.2390325,node/3264411580,relation/6473287,Barrio Ducualí,0
12.1490233,-86.2548191,node/3264411581,,Importaciones Raesva,0
12.1360063,-86.2498942,node/3217862864,relation/6472593,El Dorado,0
12.157522,-86.3043751,node/3217862867,,Colonia Linda Vista,0
12.1368155,-86.2535973,node/3217862866,,Ferretería Universal,0
12.1362433,-86.2506083,node/3217862861,relation/6472592,Semáforo El Dorado,0
12.1118122,-86.2086026,node/3705029109,relation/6473483,Terminal 195,0
12.1077853,-86.2235523,node/3217862862,relation/6472703,Farmacia Balgar,0
12.0768707,-86.1942542,node/3320044551,relation/6473346,Rótulo Clínica Nuevos Horizontes,0
12.1481062,-86.2743883,node/3217862869,relation/6472237,Arboretum,0
12.1455331,-86.2737374,node/3217862868,relation/6473155,Plaza Inter,0
12.13478855,-86.21190105,relation/6472622,,El Puente 9 de Junio,1
12.1548356,-86.352547,node/3714407333,relation/6473580,Villa Nueva,0
12.1417088,-86.2457121,node/2496956017,relation/6472271,Bar Neptuno,0
12.1425241,-86.296261,node/7716318634,,Iglesia Cristiana del Verbo,0
12.155038,-86.3524536,node/3714407334,relation/6473580,Villa Nueva,0
12.1281763,-86.2342302,node/7716318637,,La Vuelta,0
12.1215718,-86.2434657,node/2496956018,,Tecnológico Central,0
12.1474785,-86.2821575,node/2496956019,,Semáforo CST,0
12.1262321,-86.2389738,node/3227474874,,Ferretería Jenny,0
12.1297527,-86.2288875,node/3227474875,,Pista La Sabana,0
12.1316522,-86.2174057,node/3227474877,relation/6472583,El Contil,0
12.1349617,-86.1996434,node/3227474870,relation/6473379,Semáforos Mayoreo,0
12.1437674,-86.3048745,node/3227474872,relation/6472633,El Seminario,0
12.1438295,-86.3050195,node/3227474873,relation/6472633,El Seminario,0
12.1089782,-86.209416,node/3705029103,relation/6472666,Entrada Villa Milagro,0
12.1286691,-86.2196044,node/3227474878,relation/6472277,Barrio Américas 1,0
12.1585356,-86.2931079,node/2530293543,relation/6473261,Pulpería La Providencia,0
12.0972527,-86.2972737,node/3707305453,relation/6473493,Villa Roma,0
12.1487209,-86.2258016,node/3707305454,relation/6473495,Barrio Santa Rosa,0
12.138345,-86.2493999,node/3696161100,,Colegio Ignacio Loyola,0
12.1476085,-86.1877452,node/3696259370,relation/6472770,Entrada Unidad de Proposito,0
12.1554014,-86.2198485,node/6182622806,,Super Express,0
12.1533332,-86.1854209,node/3696259372,relation/6473026,Modesto Armijo,0
12.1493611,-86.2239105,node/3696259373,relation/6473116,Paso a Desnivel Portezuelo,0
12.1552632,-86.1841815,node/3696259374,relation/6473451,Terminal 105,0
12.1395009,-86.2995133,node/3696205604,,El Bodegón,0
12.1500395,-86.2206043,node/2323340692,,ENACAL,0
12.1422472,-86.2378,node/3696259377,relation/6472811,Iglesia Carmen de Santidad,0
12.1468089,-86.1621201,node/3301308684,relation/6473533,UNA / Agraria,0
12.1395362,-86.2455709,node/2316271724,relation/6472847,Iglesia de Dios,0
12.1114835,-86.2296874,node/3301308680,relation/6473090,Parque Germán Pomares Ordóñez,0
12.1142469,-86.2170119,node/3301308681,relation/6473009,Milagro de Dios,0
12.113204,-86.2203143,node/3301308682,relation/6473272,Pulpería Mejía,0
12.1056684,-86.2306925,node/3301308683,relation/6473478,Terminal 169,0
12.1485953,-86.2005339,node/2316382111,relation/6472902,La Rocargo,0
12.1206564,-86.2621387,node/2462431872,,Ultranic,0
12.1263891,-86.2391134,node/2462431876,,Ferretería Jenny,0
12.0747126,-86.2177889,node/7538589658,relation/11781303,Palí,0
12.1170921,-86.2840636,node/3333023396,relation/6472781,Hospedaje San Francisco,0
12.1233079,-86.3079483,node/7389854086,relation/10384780,Contraloría General de la República,0
12.1252992,-86.2971674,node/2523942646,,El Zumen Oeste,0
12.1231279,-86.296961,node/2523942649,relation/6473093,Parque Independencia,0
12.1192639,-86.2834535,node/3333023394,relation/6472715,Farmacia El Valle,0
12.1478204,-86.2892938,node/3705551220,relation/6473355,Salud Integral,0
12.1306125,-86.2750825,node/3705551221,relation/6473586,Vivero,0
12.1270764,-86.3014034,node/3247277516,relation/6472997,Mercado Israel Lewites Oeste,0
12.1279692,-86.3013498,node/3247277517,relation/6472997,Mercado Israel Lewites Oeste,0
12.0997653,-86.3078412,node/3247277514,,La Cooperativa,0
12.1330928,-86.2929351,node/3247277515,,Libro Café Rosita,0
12.1414943,-86.2519422,node/3247277512,,Gimnasio Nicarao,0
12.0997346,-86.3077361,node/3247277513,,La Cooperativa,0
12.1316825,-86.2949278,node/3247277510,,Farmacia Asunción,0
12.1352933,-86.292961,node/3247277511,,Ferretería Avilés,0
12.1569464,-86.2821942,node/3217862887,relation/6473363,Santa Ana,0
12.1350502,-86.2441751,node/3217862885,relation/6473563,Video Club,0
12.1231988,-86.2092621,node/2475807992,relation/6472977,Madre de Dios Este,0
12.1574344,-86.2969299,node/3217862883,relation/6473225,Pulpería Doña Tere,0
12.1453369,-86.2738749,node/3217862882,relation/6473155,Plaza Inter,0
12.1569561,-86.2776975,node/3217862881,,Parque San Sebastián,0
12.1378977,-86.2925272,node/3247277519,,Panadería Levi,0
12.0988613,-86.2133405,node/2490583652,relation/6472380,Cementerio Las Jagüitas,0
12.1278491,-86.2953277,node/2490583656,relation/6472217,Alcaldía de Managua,0
12.1358921,-86.2173262,node/7716318626,,Arvizú Norte,0
12.1367672,-86.2916601,node/3735486668,,Galilea,0
12.1480426,-86.2920616,node/3735486669,relation/6472712,Farmacia Dayser,0
12.0929265,-86.3097094,node/3735486665,,Colegio Cristiano Restauración,0
12.1569099,-86.2323275,node/7639952040,,Barbería Charlie's,0
12.1276504,-86.2119791,node/3876973814,,Farmacia Sophya,0
12.1297164,-86.2017682,node/2865556799,relation/6472656,Entrada Norte a Laureles Norte,0
12.1242793,-86.2342146,node/3876973816,relation/6473349,Donde fue SERFOSA,0
12.09928925,-86.26072725,relation/6589729,,Club Terraza Sur,1
12.1261232,-86.2048215,node/2865556798,relation/6473044,Palí - Las Américas,0
12.1518852,-86.2589101,node/3237278853,,El Ceibón,0
12.0822094,-86.2604358,relation/6589723,,Cementerio San Isidro,1
12.1575167,-86.2867816,node/3237278851,relation/6473054,Palí Santa Ana,0
12.0879657,-86.2619648,relation/6589727,,Pallavicini,1
12.1023438,-86.26103795,relation/6589724,,Entrada a San Isidro,1
12.10544465,-86.25023415,relation/6589725,,Galerías Santo Domingo Norte,1
