stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28619,BT168,WHEATON STA,,39.037704,-77.050987,,
28623,BT1684,OVERLOOK AVE & CHESAPEAKE,,38.828331,-77.017311,,
28624,BT169,VEIRS MILL-TWINBR'K PKWY,,39.073372,-77.111839,,
28625,BT1690,16TH & SOMERSET PL,,38.966839,-77.036331,,
28626,BT1691,BUZZARD POINT @ AUDI FIELD,,38.869488,-77.013672,,
28630,BT1697,ATLANTIC ST & 1ST ST SE,,38.831207,-77.005882,,
28631,BT17,4TH & RHODE ISLAND NE,,38.919968,-77.000641,,
28632,BT170,MONTGOMERY COLLEGE,,39.096375,-77.158165,,
28637,BT1706,GEORGE MASON & 3713,,38.84203,-77.118423,,
28638,BT1707,STEVENSON AVE & 5951,,38.812832,-77.136131,,
28640,BT1709,S.REYNOLDS & DUKE ST,,38.812943,-77.125145,,
28641,BT171,SHADY GROVE STA (W),,39.119869,-77.164993,,
28642,BT1710,STEVENSON AVE & S. VAN DORN ST,,38.811272,-77.131882,,
28647,BT1717,DUKE ST & ALEXANDRIA COMMONS,,38.807987,-77.08535,,
28648,BT1718,HUNTSMAN BLVD & BRIDLE WOOD DR,,38.772339,-77.248749,,
28649,BT172,VIENNA STA S,,38.877232,-77.271179,,
28650,BT1720,N WASHINGTON & PARK PL,,38.88282,-77.170181,,
28651,BT1723,17TH NW & K,,38.902519,-77.039452,,
28652,BT1724,6TH ST NW & MASSACHUSETTS AVE NW,,38.901485,-77.019913,,
28653,BT1725,BALTIMORE AVE & BERWYN HOUSE RD,,38.992649,-76.933167,,
28654,BT1726,BALTIMOREAVE & NAVAHOE ST,,38.991997,-76.933449,,
28658,BT1732,CONSTITUTION AVE & 9TH ST NW,,38.892082,-77.024124,,
28659,BT1733,LAFAYETTE SQUARE,,38.9002,-77.03653,,
28660,BT1734,FRANKLIN SQUARE,,38.901314,-77.034615,,
28661,BT1735,LANGSTON BLD & FT MYER DR.,,38.898743,-77.07296,,
28662,BT1736,LANGSTON BLVD & GLEBE RD,,38.897572,-77.123688,,
28663,BT1737,LANGSTON BLVD & KIRKWOOD RD,,38.895893,-77.097488,,
28664,BT1738,LANGSTON BLVD & SPOUT RUN PKWY,,38.896069,-77.097336,,
28673,BT1748,DOWNTOWN LARGO STATION,,38.899876,-76.845901,,
28674,BT1750,HUNGERFORD & PARK ROAD,,39.085144,-77.148033,,
28675,BT1751,HYATTSVILLE CROSSING,,38.965408,-76.955925,,
28676,BT1752,LEESBURG PK & THORNE RD,,38.870296,-77.154297,,
28677,BT1754,NORTH BETHESDA,,39.047421,-77.112007,,
28678,BT1755,SEMINARY RD & GORHAM ST,,38.846016,-77.124512,,
28679,BT1756,LENFANT PLAZA STA (VA&7 SW),,38.885605,-77.021904,,
28680,BT1757,FORBES BLVD & 4901,,38.956673,-76.836708,,
28681,BT177,WASHINGTON BLVD & LONGFELLOW ST.,,38.884827,-77.140015,,
28682,BT178,EAST FALLS CHURCH STA,,38.884937,-77.156616,,
28683,BT179,WASHINGTON ST. & PARK AVE.,,38.883144,-77.169914,,
28684,BT18,9TH & H NW,,38.899788,-77.023941,,
28685,BT180,LEE HWY. & WOODLEY PL.,,38.877655,-77.19165,,
28686,BT183,FAIR OAKS MALL (ENTR. J),,38.863575,-77.360313,,
28687,BT184,DUNN LORING STA,,38.881805,-77.230415,,
28688,BT187,LEE HWY. & GRAHAM RD.,,38.877445,-77.192253,,
28689,BT19,FRIENDSHIP HTS STA,,38.961407,-77.085556,,
28690,BT194,UNIV BLVD & RIGGS RD,,38.983891,-76.979309,,
28691,BT196,UNIV BLVD & COLESVLLE RD,,39.019882,-77.01268,,
28692,BT197,UNIV BLVD @ WARWICK TWRS,,39.036148,-77.027939,,
28693,BT198,TWINBROOK STA,,39.062099,-77.119881,,
28694,BT199,GREENBELT CENTER,,39.001263,-76.875107,,
28695,BT2,KENT VILLAGE & CONN,,38.918606,-76.887947,,
28696,BT20,RIVER RD & GOLDSBORO RD,,38.973564,-77.122635,,
28697,BT200,BELTWAY PLAZA,,38.998444,-76.909523,,
28698,BT201,GREENBELT STA,,39.011559,-76.910088,,
28699,BT202,GREENBELT RD & R I AVE,,38.998173,-76.926117,,
