stop_id,feature_name
198,Curb ramp near stop
198,Pavement at front door
198,Lighting at stop
198,Sidewalk at stop
199,TransitTracker sign
199,Pavement at back door
199,Schedule display
199,Bench near stop
199,Pavement at front door
199,Lighting at stop
199,Shelter
199,Sidewalk at stop
199,Garbage Can
199,Telephone near stop
200,Pavement at back door
200,Schedule display
200,Crosswalk near stop
200,Curb ramp near stop
200,Pavement at front door
200,Lighting at stop
200,Garbage Can
201,Schedule display
201,Lighting at stop
202,Schedule display
202,Schedule display
202,Crosswalk near stop
202,Curb ramp near stop
202,Pavement at front door
202,Lighting at stop
202,Shelter
202,Sidewalk at stop
202,Telephone near stop
202,Traffic signal
203,Pavement at back door
203,Schedule display
203,Bench near stop
203,Crosswalk near stop
203,Curb ramp near stop
203,Pavement at front door
203,Lighting at stop
203,Lighting at stop
203,Shelter
203,Sidewalk at stop
203,Traffic signal
207,Pavement at back door
207,Schedule display
207,Crosswalk near stop
207,Curb ramp near stop
207,Pavement at front door
207,Lighting at stop
207,Sidewalk at stop
207,Traffic signal
208,Pavement at back door
208,Schedule display
208,Bench near stop
208,Pavement at front door
208,Lighting at stop
208,Lighting at stop
208,Shelter
208,Garbage Can
208,Telephone near stop
209,Pavement at back door
209,Schedule display
209,Crosswalk near stop
209,Curb ramp near stop
209,Pavement at front door
209,Lighting at stop
209,Sidewalk at stop
209,Telephone near stop
209,Traffic signal
210,Pavement at back door
210,Schedule display
210,Crosswalk near stop
210,Curb ramp near stop
210,Pavement at front door
210,Lighting at stop
210,Sidewalk at stop
210,Traffic signal
211,Pavement at back door
211,Schedule display
211,Bench near stop
211,Crosswalk near stop
211,Curb ramp near stop
211,Pavement at front door
211,Lighting at stop
211,Lighting at stop
211,Shelter
211,Sidewalk at stop
211,Traffic signal
212,Pavement at back door
212,Schedule display
212,Bench near stop
212,Crosswalk near stop
212,Curb ramp near stop
212,Pavement at front door
212,Lighting at stop
212,Protection from the weather
212,Sidewalk at stop
212,Garbage Can
212,Telephone near stop
212,Traffic signal
227,Pavement at back door
227,Schedule display
227,Bench near stop
227,Pavement at front door
227,Lighting at stop
227,Shelter
227,Sidewalk at stop
228,Pavement at back door
228,Bench near stop
228,Crosswalk near stop
228,Curb ramp near stop
228,Pavement at front door
228,Lighting at stop
228,Sidewalk at stop
228,Traffic signal
229,Schedule display
229,Bench near stop
230,Pavement at back door
230,Schedule display
230,Bench near stop
230,Pavement at front door
230,Sidewalk at stop
231,Pavement at back door
231,Schedule display
231,Bench near stop
231,Curb ramp near stop
231,Pavement at front door
231,Sidewalk at stop
233,Pavement at back door
233,Schedule display
233,Bench near stop
233,Pavement at front door
233,Lighting at stop
233,Sidewalk at stop
234,Pavement at back door
234,Schedule display
234,Pavement at front door
234,Lighting at stop
234,Sidewalk at stop
235,Pavement at back door
235,Schedule display
235,Crosswalk near stop
235,Curb ramp near stop
235,Pavement at front door
235,Sidewalk at stop
235,Traffic signal
236,TransitTracker sign
236,Pavement at back door
236,Schedule display
236,Bench near stop
236,Bench near stop
236,Crosswalk near stop
236,Curb ramp near stop
236,Pavement at front door
236,Lighting at stop
236,Lighting at stop
236,Shelter
236,Sidewalk at stop
236,Garbage Can
236,Traffic signal
237,Pavement at back door
237,Schedule display
237,Crosswalk near stop
237,Curb ramp near stop
237,Pavement at front door
237,Sidewalk at stop
237,Traffic signal
238,Pavement at back door
238,Schedule display
238,Bench near stop
238,Bench near stop
238,Crosswalk near stop
238,Pavement at front door
238,Lighting at stop
238,Lighting at stop
238,Shelter
238,Sidewalk at stop
238,Traffic signal
239,Pavement at back door
239,Schedule display
239,Bench near stop
239,Crosswalk near stop
239,Curb ramp near stop
239,Pavement at front door
239,Lighting at stop
239,Sidewalk at stop
239,Traffic signal
240,Pavement at back door
240,Schedule display
240,Bench near stop
240,Crosswalk near stop
240,Curb ramp near stop
240,Pavement at front door
240,Lighting at stop
240,Sidewalk at stop
240,Traffic signal
241,Pavement at back door
241,Schedule display
241,Bench near stop
241,Crosswalk near stop
241,Curb ramp near stop
241,Pavement at front door
241,Sidewalk at stop
241,Traffic signal
247,Pavement at back door
247,Schedule display
247,Bench near stop
247,Crosswalk near stop
247,Curb ramp near stop
247,Pavement at front door
247,Lighting at stop
247,Sidewalk at stop
247,Traffic signal
251,Schedule display
251,Bench near stop
251,Lighting at stop
251,Bus request signal
252,Schedule display
252,Bench near stop
253,Pavement at back door
253,Schedule display
253,Pavement at front door
253,Sidewalk at stop
255,Pavement at back door
255,Schedule display
255,Bench near stop
255,Curb ramp near stop
255,Pavement at front door
255,Lighting at stop
255,Sidewalk at stop
256,Pavement at back door
256,Schedule display
256,Bench near stop
256,Pavement at front door
256,Lighting at stop
256,Sidewalk at stop
256,Garbage Can
257,TransitTracker sign
257,Pavement at back door
257,Schedule display
257,Bench near stop
257,Crosswalk near stop
257,Curb ramp near stop
257,Pavement at front door
257,Shelter
257,Sidewalk at stop
259,Pavement at back door
259,Schedule display
259,Bench near stop
259,Curb ramp near stop
259,Pavement at front door
259,Lighting at stop
259,Shelter
259,Sidewalk at stop
260,Pavement at back door
260,Schedule display
260,Bench near stop
260,Crosswalk near stop
260,Curb ramp near stop
260,Pavement at front door
260,Sidewalk at stop
260,Traffic signal
261,Pavement at back door
261,Schedule display
261,Bench near stop
261,Crosswalk near stop
261,Curb ramp near stop
261,Pavement at front door
261,Lighting at stop
261,Sidewalk at stop
261,Traffic signal
263,Pavement at back door
263,Schedule display
263,Bench near stop
263,Crosswalk near stop
263,Curb ramp near stop
263,Pavement at front door
263,Shelter
263,Sidewalk at stop
263,Garbage Can
263,Traffic signal
264,Schedule display
264,Crosswalk near stop
264,Curb ramp near stop
264,Lighting at stop
264,Garbage Can
264,Traffic signal
265,Pavement at back door
265,Schedule display
265,Crosswalk near stop
265,Curb ramp near stop
265,Pavement at front door
265,Lighting at stop
265,Sidewalk at stop
265,Traffic signal
267,Pavement at back door
267,Schedule display
267,Bench near stop
267,Crosswalk near stop
267,Curb ramp near stop
267,Pavement at front door
267,Lighting at stop
267,Shelter
267,Sidewalk at stop
267,Garbage Can
267,Traffic signal
268,Pavement at back door
268,Schedule display
268,Pavement at front door
268,Sidewalk at stop
268,Garbage Can
269,Pavement at back door
269,Schedule display
269,Curb ramp near stop
269,Pavement at front door
269,Lighting at stop
269,Sidewalk at stop
271,Pavement at back door
271,Schedule display
271,Schedule display
271,Bench near stop
271,Crosswalk near stop
271,Curb ramp near stop
271,Pavement at front door
271,Lighting at stop
271,Shelter
271,Sidewalk at stop
271,Garbage Can
271,Traffic signal
272,Pavement at back door
272,Schedule display
272,Bench near stop
272,Curb ramp near stop
272,Pavement at front door
272,Lighting at stop
272,Shelter
272,Sidewalk at stop
272,Garbage Can
273,Pavement at back door
273,Schedule display
273,Bench near stop
273,Crosswalk near stop
273,Curb ramp near stop
273,Pavement at front door
273,Sidewalk at stop
273,Garbage Can
273,Traffic signal
275,Pavement at back door
275,Schedule display
275,Bench near stop
275,Pavement at front door
275,Sidewalk at stop
277,TransitTracker sign
277,Pavement at back door
277,Schedule display
277,Bench near stop
277,Bench near stop
277,Crosswalk near stop
277,Curb ramp near stop
277,Pavement at front door
277,Shelter
277,Sidewalk at stop
277,Garbage Can
277,Traffic signal
278,Pavement at back door
278,Schedule display
278,Curb ramp near stop
278,Pavement at front door
278,Lighting at stop
278,Sidewalk at stop
279,Pavement at back door
279,Schedule display
279,Bench near stop
279,Curb ramp near stop
279,Pavement at front door
279,Sidewalk at stop
280,TransitTracker sign
280,Pavement at back door
280,Schedule display
280,Bench near stop
280,Crosswalk near stop
280,Curb ramp near stop
280,Pavement at front door
280,Lighting at stop
280,Lighting at stop
280,Shelter
280,Sidewalk at stop
280,Traffic signal
284,Pavement at back door
284,Schedule display
284,Crosswalk near stop
284,Curb ramp near stop
284,Pavement at front door
284,Sidewalk at stop
284,Garbage Can
284,Traffic signal
285,Schedule display
285,Lighting at stop
286,Pavement at back door
286,Schedule display
286,Bench near stop
286,Curb ramp near stop
286,Pavement at front door
286,Sidewalk at stop
287,Pavement at back door
287,Schedule display
287,Curb ramp near stop
287,Pavement at front door
287,Sidewalk at stop
288,Pavement at back door
288,Schedule display
288,Crosswalk near stop
288,Curb ramp near stop
288,Pavement at front door
288,Lighting at stop
288,Sidewalk at stop
288,Traffic signal
290,Schedule display
291,Schedule display
292,Schedule display
293,Schedule display
297,Schedule display
298,Pavement at back door
298,Schedule display
298,Bench near stop
