stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
14160,14160,SW Garden Home & Capitol Hwy,southwest garden home & capitol highway,Northbound stop in Portland (Stop ID 14160),45.467031,-122.716484,B,https://trimet.org/home/stop/14160,0,,North,Farside
14161,14161,45th Ave & Carson,45th avenue & carson,Southbound stop in Portland (Stop ID 14161),45.464203,-122.723252,B,https://trimet.org/home/stop/14161,0,,South,Nearside
14162,14162,SW Taylors Ferry & I-5 off-ramp,southwest taylors farey & i-5 off-ramp,Eastbound stop in Portland (Stop ID 14162),45.454646,-122.721868,B,https://trimet.org/home/stop/14162,0,,East,Nearside
14163,14163,SW 5th & Sheridan,southwest 5th & shariden,Southbound stop in Portland (Stop ID 14163),45.505307,-122.683289,B,https://trimet.org/home/stop/14163,0,,South,Nearside
14165,14165,SE 1st & Kane,southeast 1st & kane,Westbound stop in Gresham (Stop ID 14165),45.497631,-122.399734,B,https://trimet.org/home/stop/14165,0,,West,Farside
14166,14166,NW Irving & 6th,northwest irving & 6th,Eastbound stop in Portland (Stop ID 14166),45.528002,-122.676978,B,https://trimet.org/home/stop/14166,0,,East,Nearside
14167,14167,Meyers Rd & Sophia Ct,meyers road & sophia court,Westbound stop in Oregon City (Stop ID 14167),45.318885,-122.560735,B,https://trimet.org/home/stop/14167,0,,West,Farside
14168,14168,Meyers Rd & High School Ave,meyers road & high school avenue,Westbound stop in Oregon City (Stop ID 14168),45.3189,-122.567203,B,https://trimet.org/home/stop/14168,0,,West,Nearside
14169,14169,Meyers Rd & High School Ave,meyers road & high school avenue,Eastbound stop in Oregon City (Stop ID 14169),45.318708,-122.567026,B,https://trimet.org/home/stop/14169,0,,East,Farside
14170,14170,Meyers Rd & Sophia Ct,meyers road & sophia court,Eastbound stop in Oregon City (Stop ID 14170),45.318713,-122.560059,B,https://trimet.org/home/stop/14170,0,,East,Farside
